Fas;Kort_ID;ID;Namn;Typ;Fas;Svårighetsgrad;Beskrivning;Summering;Trigger;Klassvillkor;Tröskel_1_5;Tröskel_6_17;Tröskel_18_20;Tröskel_21_plus;@bildsida;@textsida;fill_color;line_color;Rubrik;ordning_bild;ordning_text;skede_color;bakgrund_color;bakskede
Förberedelse;OPERATIVT TEAM;36;Omorganisation av projektteamet behövs;Negativt;Förberedelse;Medium;Organisationsstrukturen fungerar inte optimalt. Roller och ansvar måste omdefinieras.;Operativt team, Organisation;Alla;Alla;Kostnad: -3 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Operativt team.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;36;33;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;OPERATIVT TEAM;37;Effektivare projekteringsprocess utvecklas;Positivt;Förberedelse;Medium;Projektledningen hittar smartare sätt att organisera samgranskningar och konsultmöten.;Operativt team, Effektivisering;Alla;Alla;Ingen effekt;Effektivitet: 1 månad förkortad tidplan;Effektivitet: 2 månader förkortad tidplan;Optimalt: +1 Q;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Operativt team.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;37;40;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMKOMP;38;Innerväggsprojekteringen blir mer komplex;Negativt;Förberedelse;Medium;Fler väggtjocklekar och ljudklasser behövs än vad som antagits. Typritningarna måste kompletteras.;Stomkomplettering, Konstruktion;Alla;Skalad;Fördröjning: 2 månader;Fördröjning: 1 månad;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMKOMP.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;38;39;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMKOMP;39;Stomkomplettering kräver samordning med installationer;Negativt;Förberedelse;Medium;Väggarnas placering i ritning krockar med installationsstråk. Omritning av rumsfunktionsprogram.;Stomkomplettering, Samordning;Alla;Skalad;Kostnad: -3 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMKOMP.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;39;38;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMKOMP;40;Beställaren vill ha fler innerväggar (B-ÄTA);Neutralt;Förberedelse;Medium;Beställaren önskar ändrad planlösning med fler rum. Ny ritning och kostnadskalkyl behövs.;Stomkomplettering, Beställare;Alla;Alla;Kostnad: -3 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl förhandlat: +0,5 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMKOMP.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;40;37;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMKOMP;41;Innerväggar vid verksamhetsgräns uppfyller inte ljudkrav;Negativt;Förberedelse;Medium;Väggar i gränszonen måste uppfylla både bostads- och verksamhetskrav. Akustikkonsulten kräver dubbla gipsskikt i specifikationen.;Stomkomplettering, Akustik;Alla;Skalad;Kostnad: -3 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMKOMP.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;41;44;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMME;42;Stomkonstruktionen kräver omarbetning;Negativt;Förberedelse;Medium;Konstruktörens dimensionering visar att pelarplaceringar kolliderar med arkitektens planlösning. Samordning krävs.;Stomme, Konstruktion;Alla;Skalad;Fördröjning: 2 månader;Fördröjning: 1 månad;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMME.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;42;43;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMME;43;Stomprojektering anpassas för installationer;Negativt;Förberedelse;Medium;Håltagningsritningen måste revideras för att ge plats åt VS-stammar. Konstruktören räknar om.;Stomme, Installationer;Alla;Skalad;Kostnad: -3 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMME.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;43;42;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMME;44;Beställaren önskar ändrad stomplanlösning (B-ÄTA);Neutralt;Förberedelse;Medium;Beställaren vill ändra spännvidder för flexiblare planlösning som tål framtida verksamhetsförändringar. Ny konstruktionsberäkning krävs.;Stomme, Beställare;Alla;Alla;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl förhandlat: +1 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMME.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;44;41;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMME;45;Brandcellskrav vid verksamhetsgräns svårlösta i ritning;Negativt;Förberedelse;Sen;Brandkonsulten visar att övergången mellan bostäder och lokaler kräver avancerade brandcellslösningar. Konstruktionsritningarna måste revideras.;Stomme, Brandskydd;Alla;Skalad;Fördröjning: 3 månader;Fördröjning: 2 månader;Fördröjning: 1 månad;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMME.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;45;48;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMME;46;Bjälklagsprojektion klarar inte ljudkrav vid gränszon;Negativt;Förberedelse;Medium;Stommens övergångszon i ritning klarar inte ljudklassificeringen. Akustikkonsulten kräver tjockare bjälklag eller undertak.;Stomme, Akustik;Alla;Skalad;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMME.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;46;47;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMME;47;Lastkonflikter från blandade spännvidder i projekteringen;Negativt;Förberedelse;Medium;Kontorsspann, förskolans öppna ytor och bostädernas cellstruktur möts i samma stomritning. Dimensioneringen blir komplex.;Stomme, Dimensionering;Alla;Skalad;Fördröjning: 2 månader;Fördröjning: 1 månad;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMME.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;47;46;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STOMME;48;Bostadsmarknaden stärker projektkalkylen;Positivt;Förberedelse;Medium;Stark efterfrågan på bostäder gör att kalkylen stärks. Projekteringen kan prioritera både kvalitet och hållbarhet.;Stomme, Marknad;Alla;Alla;Effektivitet: +3 Mkr;Effektivitet: 1 månad förkortad tidplan;Effektivitet: 2 månader förkortad tidplan;Optimalt: +1 Q;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer STOMME.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;48;45;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STÖDFUNKTIONER;49;Dokumentationsbrister;Negativt;Förberedelse;Medium;Viktig projektdokumentation saknas eller är ofullständig, inklusive underlag för klimatdeklaration och CSRD-rapportering.;Stödfunktioner, Dokumentation;Alla;Alla;Kvalitetsbrist: -2 Mkr;Mindre problem: -1 Mkr;Hanterat: Ingen effekt;Väl hanterat: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Stödfunktioner.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;49;52;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STÖDFUNKTIONER;50;Administrativ processöversyn;Neutralt;Förberedelse;Medium;Administrativa processer behöver justeras för att passa projektets storlek.;Stödfunktioner, Administration;Alla;Alla;Mindre problem: -1 Mkr;Hanterat: Ingen effekt;Förbättring: +1 Mkr;Optimalt: +2 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Stödfunktioner.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;50;51;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;STÖDFUNKTIONER;51;Upphandlingsvinst;Positivt;Förberedelse;Medium;Stödfunktioner förhandlar fram bättre villkor och hållbarhetsåtaganden med konsulter och leverantörer.;Stödfunktioner, Upphandling;Alla;Alla;Ingen effekt;Besparing: +1 Mkr;Bra besparing: +2 Mkr;Mycket bra: +3 Mkr, +1 Q;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Stödfunktioner.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;51;50;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;YTTERTAK;52;Takritning uppfyller inte dagvattenkrav;Negativt;Förberedelse;Medium;Kommunens nya dagvattenkrav gör att taklutning, avvattning och eventuella gröna tak måste projekteras om.;Yttertak, Projektering;Alla;Skalad;Mindre problem: -2 Mkr;Mindre problem: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer YTTERTAK.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;52;49;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;YTTERTAK;53;Takbeläggningsval påverkar energiberäkning;Neutralt;Förberedelse;Medium;Valet mellan sedumtak, papptak och solceller påverkar energideklarationen. Energikonsulten kräver kompletterande beräkning.;Yttertak, Energi;Alla;Skalad;Mindre problem: -2 Mkr, -1 H;Fördröjning: 1 månad;Hanterat: Ingen effekt;Väl löst: +1 H;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer YTTERTAK.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;53;56;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;YTTERTAK;54;Beställaren vill ändra taklösning (B-ÄTA);Neutralt;Förberedelse;Medium;Beställaren önskar takterrass istället för sedumtak. Ny konstruktionsberäkning och ritning.;Yttertak, Beställare;Alla;Alla;Mindre problem: -2 Mkr;Mindre problem: -1 Mkr;Hanterat: Ingen effekt;Väl förhandlat: +1 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer YTTERTAK.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;54;55;#1A6B9A;#FCF6EF;#DDE9F0
;tom;;;;;;;;;;;;;;;;#9E968E;#605951;;55;54;#1A6B9A;#FCF6EF;#DDE9F0
;tom;;;;;;;;;;;;;;;;#9E968E;#605951;;56;53;#1A6B9A;#FCF6EF;#DDE9F0
